ADAGSZÁM;Kezdet_DÁTUM;Kezdet_IDŐ;VÉGE_DÁTUM;VÉGE_IDŐ;ADAGKÖZI_IDŐ;ADAGIDŐ
1.0;2024.07.17;17:49:00;2024.07.18;1:00:00;0.0;431.0
2.0;2024.07.18;1:00:00;2024.07.18;2:22:00;0.0;82.0
3.0;2024.07.18;2:22:00;2024.07.18;3:36:00;0.0;74.0
4.0;2024.07.18;3:36:00;2024.07.18;4:43:00;0.0;67.0
5.0;2024.07.18;4:43:00;2024.07.18;5:41:00;0.0;58.0
6.0;2024.07.18;5:41:00;2024.07.18;6:53:00;0.0;72.0
7.0;2024.07.18;6:53:00;2024.07.18;8:05:00;0.0;72.0
8.0;2024.07.18;8:05:00;2024.07.18;9:18:00;0.0;73.0
9.0;2024.07.18;9:18:00;2024.07.18;10:19:00;0.0;61.0
10.0;2024.07.18;10:19:00;2024.07.18;11:29:00;0.0;70.0
11.0;2024.07.18;11:29:00;2024.07.18;12:32:00;0.0;63.0
12.0;2024.07.18;12:32:00;2024.07.18;13:37:00;0.0;65.0
13.0;2024.07.18;13:37:00;2024.07.18;14:45:00;0.0;68.0
14.0;2024.07.18;14:45:00;2024.07.18;15:58:00;0.0;73.0
15.0;2024.07.18;15:58:00;2024.07.18;17:00:00;0.0;62.0
16.0;2024.07.18;17:00:00;2024.07.18;18:05:00;0.0;65.0
17.0;2024.07.18;18:05:00;2024.07.19;1:33:00;0.0;448.0
18.0;2024.07.19;1:33:00;2024.07.19;2:40:00;0.0;67.0
19.0;2024.07.19;2:40:00;2024.07.19;3:49:00;0.0;69.0
20.0;2024.07.19;3:49:00;2024.07.19;5:01:00;0.0;72.0
21.0;2024.07.19;5:01:00;2024.07.19;6:03:00;0.0;62.0
22.0;2024.07.19;6:03:00;2024.07.19;7:06:00;0.0;63.0
23.0;2024.07.19;7:06:00;2024.07.19;8:08:00;0.0;62.0
24.0;2024.07.19;8:08:00;2024.07.19;9:52:00;0.0;104.0
25.0;2024.07.19;9:52:00;2024.07.19;11:02:00;0.0;70.0
26.0;2024.07.19;11:02:00;2024.07.19;12:12:00;0.0;70.0
27.0;2024.07.19;12:12:00;2024.07.19;13:12:00;0.0;60.0
28.0;2024.07.19;13:12:00;2024.07.19;14:31:00;0.0;79.0
29.0;2024.07.19;14:31:00;2024.07.19;15:27:00;0.0;56.0
30.0;2024.07.19;15:27:00;2024.07.19;16:24:00;0.0;57.0
31.0;2024.07.19;16:24:00;2024.07.19;17:30:00;0.0;66.0
32.0;2024.07.19;17:30:00;2024.07.19;23:09:00;0.0;339.0
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
